457 - 5277,4,-4820.0,❌
52 + 8346,4,8398.0,❌
27 * 6449,4,174123.0,❌
408 - 6332,4,-5924.0,❌
758 - 5818,4,-5060.0,❌
65727 / 327,4,201.0,❌
113 - 6261,4,-6148.0,❌
2286108 / 4554,4,502.0,❌
566 + 7418,4,7984.0,❌
423681 / 7433,4,57.0,❌
486 - 8169,4,-7683.0,❌
842 - 976,4,-134.0,❌
511 * 3251,4,1661261.0,❌
498 - 4481,4,-3983.0,❌
912 - 7417,4,-6505.0,❌
149 * 738,4,109962.0,❌
183 + 6341,4,6524.0,❌
787 * 1113,4,875931.0,❌
667 + 9103,4,9770.0,❌
398 * 5101,4,2030198.0,❌
3179056 / 3688,4,862.0,❌
320 + 170,4,490.0,❌
589 + 2722,4,3311.0,❌
3846360 / 9158,4,420.0,❌
310 - 120,4,190.0,❌
402 - 7820,4,-7418.0,❌
521 + 1088,4,1609.0,❌
796 * 4721,4,3757916.0,❌
143 - 7190,4,-7047.0,❌
988 * 2185,4,2158780.0,❌
0.5 * 0.5,4,0.25,❌
0.002 * 40,4,0.08,❌
0.6 / 15,4,0.04,❌
0.1 - 0.04,4,0.060000000000000005,❌
0.012 * 40,4,0.48,❌
9942 * 9527,4,94717434.0,❌
7671 * 8645,4,66315795.0,❌
9865 * 8333,4,82205045.0,❌
555 * 9521,4,5284155.0,❌
5000 * 6669,4,33345000.0,❌
2882 * 2863,4,8251166.0,❌
5079 * 4099,4,20818821.0,❌
7568 * 6606,4,49994208.0,❌
5668 * 6540,4,37068720.0,❌
1436 * 1541,4,2212876.0,❌
2844 * 5038,4,14328072.0,❌
1990 * 2773,4,5518270.0,❌
7722 * 1084,4,8370648.0,❌
9852 * 8787,4,86569524.0,❌
9493 * 8773,4,83282089.0,❌
941 + 825,1766,1766.0,❌
2576226 / 9267,1766,278.0,❌
882 * 6326,1766,5579532.0,❌
7251792 / 8887,1766,816.0,❌
410 * 6091,1766,2497310.0,❌
923 + 7781,1766,8704.0,❌
913 - 190,1766,723.0,❌
843 + 7388,1766,8231.0,❌
191 * 8977,1766,1714607.0,❌
1843428 / 2062,1766,894.0,❌
1520554 / 4858,1766,313.0,❌
258 * 5894,1766,1520652.0,❌
317 * 3350,1766,1061950.0,❌
424 + 2833,1766,3257.0,❌
64 - 5659,1766,-5595.0,❌
46 + 9834,1766,9880.0,❌
376 * 1648,1766,619648.0,❌
796 - 8131,1766,-7335.0,❌
1839747 / 3809,1766,483.0,❌
393 + 8641,1766,9034.0,❌
784 - 4236,1766,-3452.0,❌
526 + 5774,1766,6300.0,❌
310 + 4940,1766,5250.0,❌
6062672 / 7733,1766,784.0,❌
721 - 4793,1766,-4072.0,❌
1536304 / 5104,1766,301.0,❌
527 * 2988,1766,1574676.0,❌
284 + 2671,1766,2955.0,❌
200 * 2008,1766,401600.0,❌
264 * 7658,1766,2021712.0,❌
0.5 * 0.5,1766,0.25,❌
0.002 * 40,1766,0.08,❌
0.6 / 15,1766,0.04,❌
0.1 - 0.04,1766,0.060000000000000005,❌
0.012 * 40,1766,0.48,❌
8305 * 4655,1766,38659775.0,❌
7312 * 8161,1766,59673232.0,❌
7611 * 2572,1766,19575492.0,❌
3465 * 9988,1766,34608420.0,❌
3365 * 8503,1766,28612595.0,❌
8242 * 2697,1766,22228674.0,❌
3406 * 653,1766,2224118.0,❌
7012 * 7396,1766,51860752.0,❌
1495 * 2787,1766,4166565.0,❌
1375 * 4852,1766,6671500.0,❌
7174 * 6515,1766,46738610.0,❌
1220 * 174,1766,212280.0,❌
352 * 9292,1766,3270784.0,❌
5508 * 5236,1766,28839888.0,❌
5625 * 6818,1766,38351250.0,❌
46 * 5088,4499483,234048.0,❌
1896900 / 6323,3322,300.0,❌
247 * 3626,3,895622.0,❌
5272113 / 8657,3,609.0,❌
57 - 6653,3,-6596.0,❌
36 + 3123,3,3159.0,❌
766 - 3696,3,-2930.0,❌
216 * 3154,3,681264.0,❌
387 - 1376,3,-989.0,❌
8377380 / 8462,3,990.0,❌
3847997 / 5179,3,743.0,❌
985 - 4823,3,-3838.0,❌
187511 / 9869,3,19.0,❌
329 - 6262,3,-5933.0,❌
688 * 6577,3,4524976.0,❌
77 * 7516,3,578732.0,❌
887 * 3021,3,2679627.0,❌
790 * 6095,3,4815050.0,❌
510 + 560,3,1070.0,❌
150 + 8592,3,8742.0,❌
687 - 5854,3,-5167.0,❌
787 * 2653,3,2087911.0,❌
159 * 4468,3,710412.0,❌
204 - 9174,3,-8970.0,❌
35 - 7333,3,-7298.0,❌
378 - 6730,3,-6352.0,❌
569 * 7152,3,4069488.0,❌
1665760 / 5744,3,290.0,❌
405 * 6136,3,2485080.0,❌
820 * 9294,3,7621080.0,❌
0.5 * 0.5,3,0.25,❌
0.002 * 40,3,0.08,❌
0.6 / 15,3,0.04,❌
0.1 - 0.04,3,0.060000000000000005,❌
0.012 * 40,3,0.48,❌
180 * 8417,3,1515060.0,❌
1237 * 7396,3,9148852.0,❌
414 * 1903,3,787842.0,❌
363 * 4763,3,1728969.0,❌
7331 * 6750,3,49484250.0,❌
397 * 1667,3,661799.0,❌
2844 * 1204,3,3424176.0,❌
789 * 3524,3,2780436.0,❌
222 * 1625,3,360750.0,❌
3321 * 6052,3,20098692.0,❌
5671 * 625,33,3544375.0,❌
8466 * 7061,3,59778426.0,❌
5613 * 5770,3,32387010.0,❌
4752 * 6055,3,28773360.0,❌
577 * 7468,3,4309036.0,❌
Section 1,782 + 3073,4,3855.0,2.1987762451171875,❌
Section 1,270 + 7067,4,7337.0,0.829186201095581,❌
Section 1,833 * 9423,4,7849359.0,0.5899550914764404,❌
Section 1,73 - 689,4,-616.0,0.3431589603424072,❌
Section 1,373 * 3637,4,1356601.0,0.32404112815856934,❌
Section 1,160 * 9410,4,1505600.0,0.29909300804138184,❌
Section 1,482580 / 8043,4,60.0,0.24076175689697266,❌
Section 1,627 - 9139,4,-8512.0,0.24688076972961426,❌
Section 1,898 * 9999,4,8979102.0,0.24076175689697266,❌
Section 1,4544202 / 5066,4,897.0,0.25751328468322754,❌
Section 1,859 * 1289,4,1107251.0,0.23955988883972168,❌
Section 1,702476 / 2879,4,244.0,0.23256993293762207,❌
Section 1,981 * 9372,4,9193932.0,0.2360210418701172,❌
Section 1,735 * 4573,44,3361155.0,0.30921483039855957,❌
Section 1,826176 / 8606,4,96.0,0.32108187675476074,❌
Section 1,260 * 8123,4,2111980.0,0.3093838691711426,❌
Section 1,24 + 6653,4,6677.0,0.3296639919281006,❌
Section 1,453 + 7929,4,8382.0,0.34990620613098145,❌
Section 1,290 - 7239,4,-6949.0,0.3503439426422119,❌
